id,risk_level_code,risk_level_name,risk_level_type,risk_score_min,risk_score_max,sort_no,yn,created_at,updated_at
1,C1,保守型,customer,0,19,1,1,2018-01-01 00:00:00,2026-01-01 00:00:00
2,C2,稳健型,customer,20,39,2,1,2018-01-01 00:00:00,2026-01-01 00:00:00
3,C3,平衡型,customer,40,59,3,1,2018-01-01 00:00:00,2026-01-01 00:00:00
4,C4,成长型,customer,60,79,4,1,2018-01-01 00:00:00,2026-01-01 00:00:00
5,C5,进取型,customer,80,100,5,1,2018-01-01 00:00:00,2026-01-01 00:00:00
6,P1,低风险,product,0,19,1,1,2018-01-01 00:00:00,2026-01-01 00:00:00
7,P2,中低风险,product,20,39,2,1,2018-01-01 00:00:00,2026-01-01 00:00:00
8,P3,中风险,product,40,59,3,1,2018-01-01 00:00:00,2026-01-01 00:00:00
9,P4,中高风险,product,60,79,4,1,2018-01-01 00:00:00,2026-01-01 00:00:00
10,P5,高风险,product,80,100,5,1,2018-01-01 00:00:00,2026-01-01 00:00:00
11,E1,提示,event,0,19,1,1,2018-01-01 00:00:00,2026-01-01 00:00:00
12,E2,关注,event,20,39,2,1,2018-01-01 00:00:00,2026-01-01 00:00:00
13,E3,可疑,event,40,59,3,1,2018-01-01 00:00:00,2026-01-01 00:00:00
14,E4,高危,event,60,79,4,1,2018-01-01 00:00:00,2026-01-01 00:00:00
15,E5,阻断,event,80,100,5,1,2018-01-01 00:00:00,2026-01-01 00:00:00
